distance,age,jockey,trainer,speed_rating,odds,pp_start,speed1,speed2,speedf,pp_finish
500,2,153873,2195,74,2.5,1,58.37,55.44,54.66,1
500,2,160773,2216,8,29.9,10,54.24,52.88,51.38,9
500,2,117931,958826,54,6.3,7,57.66,54.83,53.7,6
500,2,135108,1709,42,8.8,2,58.73,55.27,53.07,8
500,2,99161,21586,61,6.3,3,58.8,55.86,54.03,5
500,2,114312,243304,64,33.9,5,58.76,55.78,54.2,4
500,2,17432,94,67,4.9,4,57.62,55.25,54.33,3
500,2,161943,1392,68,3.8,6,56.91,54.91,54.36,2
800,5,160005,120430,101,61.6,6,56.64,56.86,55.59,10
800,7,17432,624,99,35.5,9,56.67,57.03,55.49,11
800,4,74725,1626,110,19,4,57.78,57.47,56.06,7
800,4,502,247740,109,13.9,10,55.16,55.98,56,8
800,5,135108,277836,112,5.1,7,55.74,56.42,56.19,6
800,4,113484,281232,106,23.4,3,59.04,57.64,55.87,9
800,4,102032,239418,113,3.9,12,53.73,55.1,56.24,4
800,4,152588,835,113,6.2,11,54.63,55.89,56.23,5
800,6,122644,1257,81,2.9,2,59.22,57.82,54.59,12
800,6,1339,804,115,10.4,8,55.2,56.24,56.31,3
800,4,1811,272417,116,29.4,5,56.1,56.77,56.4,1
800,5,137099,1150,116,8.4,1,57.75,57.21,56.4,2
600,2,1811,2161,55,24.1,2,59.57,57.03,53.52,4
600,2,152588,83,102,0.6,1,59.39,57.29,55.95,1
600,2,153873,2195,45,53.3,6,53.61,53.99,53.01,5
600,2,102032,2161,44,18.2,3,58.84,56.6,52.95,6
600,2,163211,252990,77,6.5,4,58.66,57.12,54.67,3
600,2,137099,1150,88,2,5,57.94,56.86,55.21,2
900,4,85790,951459,118,8,6,54.91,54.9,55.74,7
900,5,102032,94,120,12.4,10,52.68,53.96,55.8,6
900,4,1339,277836,122,8.2,3,54.03,54.46,55.92,4
900,4,1811,38601,123,3.1,8,55.41,55.24,55.98,2
900,5,152588,1626,124,21,5,54.06,54.55,56,1
900,6,137099,277836,112,3.3,2,54.4,54.8,55.4,10
900,4,1452,1257,120,15.3,1,55.07,55.15,55.8,5
900,6,74725,3462,113,4.8,4,54.57,54.88,55.47,9
900,5,502,37522,123,9.7,7,55.58,55.4,55.97,3
900,4,122644,277836,116,20.6,9,52.51,53.71,55.61,8
800,4,9631,250678,72,5.2,7,55.12,54.3,52.21,7
800,6,135108,1032,43,11.9,6,54.14,54.12,50.81,9
800,5,113484,298,75,9.7,4,55.63,54.61,52.37,5
800,6,3752,281232,81,5.5,2,54.21,54.13,52.66,2
800,5,160005,2208,77,5.7,1,55.09,54.6,52.44,4
800,7,162748,199159,87,2,8,54.92,54.58,52.93,1
800,7,114312,41604,67,27.9,5,54.18,54.1,51.96,8
800,6,163211,298,77,6.2,3,54.88,54.56,52.45,3
800,4,160773,19640,73,19,9,54.72,54.55,52.25,6
