distance,track,age,jockey,trainer,speed_rating,odds,pp_start,speed1,speed2,speedf,pp_finish,winloss
850.0,0,3,134563,126922,91,62.6,9,55.73,55.07,54.26,6,0
850.0,0,4,122587,1271,80,11.8,2,56.95,55.6,53.74,10,0
850.0,0,3,74725,1150,91,14.0,7,54.18,54.05,54.3,5,0
850.0,0,3,163211,38392,86,45.4,6,54.87,54.38,54.05,8,0
850.0,0,3,137099,1150,92,4.9,10,56.25,55.06,54.34,4,0
850.0,0,3,102032,277836,98,2.8,5,55.21,54.72,54.64,1,1
850.0,0,3,1339,164120,96,4.2,1,57.12,55.61,54.53,2,1
850.0,0,3,160773,3462,0,19.5,11,57.12,55.61,54.64,11,0
850.0,0,3,122644,272182,87,8.1,4,56.43,55.24,54.07,7,0
600.0,1,3,161943,267241,69,96.3,6,57.46,56.42,54.25,7,0
600.0,1,3,74725,518,86,35.8,7,55.3,55.81,55.1,4,0
600.0,1,3,122644,83,101,0.5,4,59.1,57.3,55.89,2,1
600.0,1,3,114312,26392,102,2.9,1,58.53,57.03,55.95,1,1
600.0,1,4,135108,3794,83,13.1,5,58.92,57.11,54.95,6,0
600.0,1,3,117931,83,85,22.1,3,58.89,56.77,55.04,5,0
600.0,1,4,102032,277836,91,5.8,2,59.14,57.29,55.35,3,1
800.0,0,6,502,5467,105,6.9,4,56.14,56.1,55.75,6,0
800.0,0,6,1452,257611,103,3.7,2,58.15,57.16,55.66,7,0
800.0,0,4,137099,12068,105,5.7,1,57.59,56.81,55.77,4,0
800.0,0,6,114312,26392,106,27.8,3,56.17,56.45,55.81,3,1
800.0,0,5,99161,19640,103,72.1,6,56.7,56.73,55.65,8,0
800.0,0,6,74725,1626,105,1.4,5,58.33,57.53,55.76,5,0
